z_t_math_base,z_t_math_end,blockZZ,treatment,spillover_class,in_person_sch,z_baseline,age2,female,father_jhs,mother_jhs,ses1,class_size,t_female,t_age2,t_exp,t_4yrcoll,t_cert,t_major_math,t_rank_yigao,b_t_math_t_direct,e_t_math_t_direct,b_t_math_t_active,e_t_math_t_active,b_t_math_fixed,e_t_math_fixed,b_t_math_rules,e_t_math_rules,b_t_math_inquiry,e_t_math_inquiry,t_intr_mot_base,t_intr_mot_end,t_prosoc_mot_base,t_prosoc_mot_end,blockZ
.088338196,.80619258,41,1,0,0,.25993657,12.704521,.42857143,.73469388,.77551019,-.7216694821604888,49,1,45.379875,23,0,1,0,1,.028233431,-1.0943406,.32191831,.63174075,.58812809,.026692215,.65937561,-.23633339,-.082138166,-.004593364,-.25893682,-1.4136072,.01232955,-1.0515107,4
.088338196,.1221473,51,1,1,0,.11663634,13.756836,.36842105,.84210527,.7368421,-.6682814552882088,38,1,48.799454,32,0,1,0,1,1.1767659,1.4096686,-.72915161,-.62501627,1.017837,1.5382913,.32633328,.76192242,-.27669781,.17223874,-1.2474892,-.42014784,-.030823197,-.77360731,5
-.3111496,-3.6401017,41,1,1,1,.57030493,12.738663,.42372882,.83050847,.779661,-.8589847377989833,59,1,35.545517,17,0,1,0,1,.22893596,.25845513,-.2338239,-.039366469,.70476198,.60876548,-.77134919,.71049106,-1.6971704,.063513145,-2.3473046,-.97274107,-2.0300992,-.071543299,4
.48782599,-.21987534,61,1,0,1,.78743196,14.589487,.41379312,.89655173,.93103451,-1.365035631392231,58,1,38.379192,21,0,1,0,1,-1.977771,-2.6284902,-.31033483,-1.6948762,-.67282391,-.3567934,-.90308607,-2.4798918,-.082138166,.45169476,-2.7143033,-.19101356,-2.0300992,-.27198109,6
.88731378,.63518125,42,2,0,1,-.43141779,12.993931,.63333333,.66666669,.64285713,-.0567791261287296,30,0,37.212868,18,0,1,0,1,-.088971838,-.66748011,-2.6877556,.9814015,-.47102922,.68406934,-.50396019,-.0041384781,-.69153476,-.43150184,.96874642,.91215891,1.0188677,.96332812,4
.48782599,-.048864014,52,2,1,1,-.48997739,14.139951,.5106383,.78723407,.72340423,.0001260416814965,47,1,28.046543,4.5,1,1,1,0,.30910552,-.63630497,.055036951,.0085016219,.58620894,-.40388468,.32633328,-.47910166,-.082138166,-.004593364,.96874642,-.44017884,-.60758013,-.46724939,5
-.51089352,-.90392059,42,2,1,1,-.17819244,12.899064,.55319148,.78723407,.72340423,.0219083127179554,47,1,24.046543,1,1,1,1,0,-.54586452,-2.3154402,1.2562164,-.78064007,-.98397303,-2.3017704,1.0053098,.94014633,2.3887613,2.0544012,.96874642,.91215891,1.0188677,.96332812,4
-.51089352,.1221473,62,2,0,1,-.23613478,14.617796,.52499998,.67500001,.69999999,.1954481348871028,40,1,30.212183,10,0,1,1,0,-.68532771,.41541821,.055036951,-1.3421946,-.23924276,.45643035,-1.9555626,-.7695992,-.082138166,-1.2238238,-.25893682,-1.3038942,-.66257346,-2.0089166,6
-1.509613,.63518125,42,2,0,0,-.6067223,12.724294,.41935483,.67741936,.77419353,-.0129404944186055,31,1,36.295689,15,0,1,0,0,-.36322635,-.73187715,-.42486018,-.72653389,.034547914,1.1387575,1.7376595,.71049106,-.27669781,-.004593364,.96874642,.91215891,1.0188677,.96332812,4
-.51089352,.80619258,52,2,1,0,-.55783999,13.870528,.28947368,.63157892,.65789473,-.3826848749149807,38,1,37.127995,15,0,1,0,1,-.94797933,-.24585608,-.63538396,-1.0940516,-.41739255,.67885685,.65937561,.50908989,.5272584,-.004593364,.96874642,.13043147,1.0188677,.96332812,5
-1.1101252,-1.2459432,40,0,1,0,.074138589,12.707451,.36206895,.75862068,.75862068,-.129809270478967,58,0,58.5462,34,0,1,1,1,-2.8741713,.95170283,.055036951,-2.9605701,-.84106594,1.4760519,.32633328,.82702458,-.082138166,-.62008321,.60174751,.91215891,-.20935728,-.0026530731,4
-.51089352,-3.6401017,50,0,0,0,.12036087,13.634611,.47916666,.89583331,.875,-.3348798502968585,48,0,42.874744,20,0,1,0,0,.7058183,.58506453,.055036951,-.25749847,-.80711699,-1.3406683,.65937561,.71049106,-.082138166,-.004593364,-.084876336,.91215891,.10651787,.96332812,5
-.1114057,.46416995,41,1,1,1,-.21711235,13.072637,.41463414,.75609756,.80487806,-.2478656118175273,41,1,25.46475,.2,1,1,0,0,.37756866,.047821041,-1.1004678,-1.2464585,.19137889,-.06475132,-1.3240637,-1.1455644,-2.7900147,-.63300818,-2.1969309,-.78104013,-2.3459744,-2.0229025,4
.88731378,.46416995,51,1,0,1,-.5715068,13.458714,.54545456,.61363637,.77272725,-.3687411861082321,44,1,39.37851,18,0,1,1,1,-.16433662,-.13238914,.67416769,-.039366469,-.4053933,-.61823088,-.14989275,.71049106,-.69865435,-.004593364,-.06118929,.91215891,-.47023904,.96332812,5
-1.3098691,.63518125,42,2,1,0,.73365456,12.611735,.5272727,.72727275,.76363635,-.3887852912685444,55,1,40.547569,18,0,1,0,1,-.063356318,-1.5923015,-.31033483,-.25749847,.87330008,-.40617085,-1.1308677,-.26810223,-.082138166,-.9124642,-.25893682,-.19101356,-.34669834,.20660125,4
.68756992,.29315862,52,2,0,0,.79842627,13.702395,.62,.83999997,.74000001,-.4483271004332098,50,1,36.213551,19,0,1,0,1,-.15290509,-.7720713,.74776608,.55342329,1.0172726,.67843282,-1.3677405,-1.9057182,-.69153476,-1.6930369,-.25893682,-2.3973587,.52249879,-2.7426,5
-1.1101252,.46416995,40,0,1,0,.51741588,12.923465,.47727272,.84090906,.86363637,-.5367562602805989,44,0,54.294319,34,0,1,1,1,.45740178,.53051811,.40728626,-.67288423,1.3400652,-.47496006,.35532027,.71049106,-.082138166,.17223874,.34719312,-1.0399134,1.0188677,-1.2379625,4
-.71063739,.1221473,60,0,0,0,.20808376,15.013135,.52380955,.90476191,.9285714,-.4436852552883925,42,1,29.9603,6,1,1,1,0,-.6412077,.54541743,.055036951,-.78949863,.011856273,1.4256229,-.21569373,-.0041384781,-.082138166,-.004593364,-.25893682,-.071592443,.28701168,-.50427926,6
.48782599,.46416995,41,1,1,0,.22232975,13.164955,.46153846,.75,.82692307,-.6577087647503815,52,0,39.126625,11,0,1,0,0,1.1967024,.83041281,1.1665829,.23377366,1.3099469,1.4774398,1.4122965,.71049106,.49869403,-.004593364,-.60224879,-1.2316145,.38515773,-.49546272,4
.088338196,.46416995,61,1,0,0,.20454013,15.021038,.4528302,.83018869,.8490566,-.5701468545131696,53,0,43.712524,20,0,1,0,1,-.99315071,-.19854158,-.18329138,-.74123549,.045609161,.76589769,-.47497314,-.48221004,-.082138166,-.004593364,-1.8690425,-1.6879109,-1.4533423,-1.785435,6
.68756992,.1221473,42,2,1,0,.20656523,12.989733,.55263156,.89473683,.84210527,-.5960391469490167,38,1,33.04586,6.1999998,1,1,0,0,1.0841038,1.0317483,-.67570662,.0085016219,-.015014694,-.69234127,.65937561,.71049106,-.082138166,-.004593364,-.60224879,.91215891,-.34669834,.96332812,4
-.3111496,.1221473,62,2,0,0,.029343866,15.009,.57407409,.7962963,.85185188,-.565699843050342,54,0,44.295689,24,0,1,0,1,.30910552,1.0317483,-.31033483,.0085016219,-.33572552,-.24166825,.65937561,.71049106,-.082138166,-.004593364,.084375061,.91215891,-.20935728,.7082274,6
-.1114057,.46416995,40,0,0,0,1.3334358,12.767586,.45901638,.93442625,.93442625,-1.363824723925289,61,1,40.295689,19,0,1,1,1,.64803392,.1888323,-.14710301,-.99253398,.60301244,-.63059253,-.093545325,-.12590729,.56048191,-.004593364,-.25893682,-1.8073322,-.34669834,-2.0086753,4
1.2868016,.29315862,50,0,1,0,.34084615,13.754174,.5151515,.87878788,.95454544,-1.510673749904731,66,1,28.295689,7,1,1,1,0,.51898986,.9691245,.67416769,.93353325,-1.0701181,-.47535706,.059374493,1.0275533,-.082138166,-.004593364,.62543452,.91215891,-.47023904,.0061634984,5
.88731378,.63518125,41,1,1,0,-.10187887,12.83912,.46511629,.67441863,.69767439,-.8120904022566047,43,1,41.127995,19,0,1,1,1,.86755168,-.96266711,.33077538,-1.4538735,-1.2194924,.41232839,-2.5797443,-1.266461,-.72475815,-3.0395656,-.25893682,.58100575,.70299262,.22964509,4
.88731378,.29315862,51,1,0,0,-.23346834,13.930926,.4375,.70833331,.79166669,-.311162484846454,48,0,30.713211,8,1,1,1,0,.86755168,-1.1319654,.33077538,-.50126177,-1.2194924,.26653171,-2.5797443,2.0628133,-.72475815,.96969843,-.25893682,1.2433121,.70299262,-.47241884,5
.68756992,.63518125,42,2,1,0,-.41154376,13.044371,.54347825,.69565219,.69565219,-.2636455578494221,46,0,47.37851,27,0,1,0,1,-1.2641062,-1.1200408,-1.0410783,.0085016219,1.0084982,-.54834944,.37634546,-.35566559,-.082138166,-.43150184,-1.2083788,-2.3973587,-.34669834,-2.2409737,4
1.0870577,.80619258,52,2,0,0,-.052777696,14.163379,.43478259,.86956519,.84782606,-.5249529699124256,46,1,37.546886,19,0,1,0,1,-1.0395539,-.14003214,.27260751,-.79046208,-.60723907,-.3983148,-.88674229,-.43773454,-.8504104,-.004593364,-.0066556884,2.3464847,-1.2158954,3.4567494,5
.48782599,.29315862,40,0,0,0,.26270062,12.898746,.43333334,.80000001,.80000001,-.8087095540286112,30,1,37.798767,17,0,1,0,1,.45614305,-.28363502,1.8076931,-.48277056,.44682372,.69549996,.13313739,-.24156864,-.082138166,-.7288087,-1.2083788,-.97274107,-.20935728,-.048499517,4
